1 4	1 Abortus
2583 0	2673 Blærebetændelse
2584 6	2674 Brystfistel
2585 2	2675 "Cancer abdominis post cancrum uteri"
2586 2	2676 "Cancer uteri et intest."
2587 1	2677 "Cancer uteri et vaginae et vesicae urinariae"
2588 3	2678 "Carcinoma flexurae sigmoidei"
2589 3	2679 "Cholerine acuta"
2590 5	2680 "Cirrhosis ventriculi et duodeni"
2591 3	2681 "Coxitis tuberculosa"
2592 2	2682 "Fald fra dækket ned i lasten"
2593 1	2683 "Forkalkning af aorta"
2594 2	2684 "Formentlig drikfældighed og miseries"
2595 1	2685 "Formentlig kærlighedssorg"
2596 1	2686 "Forstyrret fordøjelse"
2597 1	2687 "Fractura cruris"
2598 1	2688 "Haemorrhagia uteri"
2599 1	2689 "Hydrops efter scarlatina"
2600 1	2690 "Icterus gravis neonatorum"
2601 2	2691 "Inanitio (Inanition)"
2602 2	2692 "Intestinal katar"
2603 3	2693 Kirtelatrofi
2604 3	2694 "Kronisk tarmaffektion"
2605 1	2695 "Kronisk underlivstilfælde"
2606 1	2696 "Kvalt i opkastning"
2607 1	2697 Lungesyge
2608 4	2698 Navlebetændelse
2609 1	2699 "Nephritis efter difteritis"
2610 3	2700 Nervefeber
2611 4	2701 "Overdreven nydelse af spiritus"
2612 1	2702 "Perforatio ventriculi"
2613 1	2703 "Pericarditis acuta"
2614 0	2704 "Phthisis ulcerosa pulmonum"
2615 1	2705 "Pleuritis purulenta"
2616 1	2706 Pneumokoksepsis
2617 1	2707 "Rigor cadaverosus"
2618 2	2708 "Skud gennem munden"
2619 1	2709 "Stomakace  (Stomacace)"
2620 1	2710 "Strictura urethrae"
2621 2	2711 "Suffocatio in debilitate congenita"
2622 1	2712 "Tillukning af spiserør og endetarm"
2623 2	2713 "Tillukning af spiserøret"
2624 2	2714 "Tuberculosis abdominalis"
2625 1	2715 "Tumor cancrosus colli"
2626 1	2716 "Tumor scapulae et columnae vertebralis"
2627 2	2717 "Valvulær hjertesygdom"
2628 1	2718 "Vitium cordis"
2629 2	2719 "Vitium cordis?"
2630 3	2720 "Adenophlegmone colli"
2631 2	2721 "Akut hjernesygdom"
2632 1	2722 "Alderdoms skrøbeligheder"
2633 2	2723 "Cancer pylori et hepatis"
2634 1	2724 "Carcinoma hepatis"
2635 2	2725 "Compressio cerebri"
2636 1	2726 "Confusio (acut.) mentis alcoholica"
2637 1	2727 "Embolia art. pulm. post operationem"
2638 1	2728 Fødselsblødning
2639 1	2729 "Incarceratio intestini e strangulatione"
2640 9	2730 "Induratio telae cellulosae"
2641 1	2731 "Kronisk hjernetilfælde"
2642 7	2732 "Lungebetændelse efter mæslinger"
2643 1	2733 "Pneumonia acuta in chron."
2644 1	2734 "Pneumonia pulmonum (Pneumonia pulm.)"
2645 1	2735 "Sarcoma orbitae"
2646 1	2736 "Sarcomatosis universalis post tumorem melanosarcomat. g??"
2647 2	2737 Tandbrud
2648 2	2738 "Tuberculosis pulmonum et glandul."
2649 1	2739 Uroplania
2650 1	2740 "Abscessus pleurae"
2651 8	2741 "Abscessus retrouterinus"
2652 1	2742 "Acut intestin. chron."
2653 1	2743 "Asthma thymicum"
2654 1	2744 "Blodprop i hjernen"
2655 1	2745 "Bronchitis suppurativa chr."
2656 4	2746 Cancer?
2657 1	2747 "Cancer antebrachii et axillaris"
2658 1	2748 "Cancer cardiae et hepatis"
2659 7	2749 "Cancer intest. acut."
2660 1	2750 "Cancer pelvis minoris"
2661 5	2751 "Catarrhus suffocativus"
2662 2	2752 "Convulsivisk hjerteanfald"
2663 4	2753 "Degeneratio cordis chron."
2664 2	2754 "Dementia et confusio mentalis"
2665 8	2755 "Dobbeltsidig lungebetændelse (Dobbelt lungebetændelse)"
2666 1	2756 "Eclampsia post cholerine"
2667 1	2757 "Eclampsia post partum"
2668 3	2758 "Febris gravis in delirio"
2669 5	2759 "Fibromata permagna uteri"
2670 10	2760 "Forgiftning med cyankalium"
2671 4	2761 "Forhærdelse i livmoderen"
2672 21	2762 "Gangraena senilis organ."
2673 22	2763 "Haemarthron (Hæmarthrus)"
2674 1	2764 "Haemorrhagia post operationem"
2675 3	2765 "Hemiparesis ant."
2676 1	2766 Hjernehæmorrhagia
2677 1	2767 Hjerneirritation
2678 1	2768 "Høj grad af skoliose"
2679 1	2769 "Knusning af venstre lår"
2680 1	2770 "Kronisk blærekatar"
2681 3	2771 "Kronisk leveraffektion"
2682 0	2772 "Kræft i skulderen, armen og underlivet"
2683 1	2773 Luftrørssvindsot
2684 1	2774 "Lufttomhed af lungerne"
2685 4	2775 Miltsvulst
2686 1	2776 "Otitis chr."
2687 5	2777 "Phlegmone gangraenosum"
2688 2	2778 "Pneumonia lob. sup."
2689 1	2779 "Pyosalpingitis duplex"
2690 1	2780 "Ruptura uteri completa"
2691 2	2781 "Stenosis intestinalis"
2692 8	2782 "Stomatitis aphthosa"
2693 1	2783 "Svulst i højre side"
2694 2	2784 Tarmsår
2695 1	2785 Tarmtæring
2696 2	2786 "Tuberculosis glandularis"
2697 6	2787 "Tuberculosis intest. et pulmonum"
2698 5	2788 "Tuberkulose i tarm og indre organer"
2699 1	2789 "Tumor laryngis"
2700 5	2790 "Ulcera recti"
2701 5	2791 "Vulnus femoris"
2702 5	2792 "Asthma degenerativa"
2703 7	2793 "Cystomata renum"
2704 2	2794 "Kronisk sygdom i nervesystemet"
2705 4	2795 Tarmaffektion
2706 1	2796 "Tumores fibrosi uteri"
2707 1	2797 "Akut enterokatar (Acut Enterocatarrh)"
2708 1	2798 "Arthritis genus"
2709 3	2800 "Ataxia locomotoria progressiva"
2710 5	2801 "Bryst- og hjernebetændelse"
2711 1	2802 "Cancer capitis"
2712 1	2803 Carcinoma
2713 1	2804 "Causa ignota  (Causa mortis ignota)"
2714 12	2805 "Lupus faciei"
2715 1	2806 Maveblødhed
2716 1	2807 Oesophagitis
2717 1	2808 "Pneumonia in senio"
2718 1	2809 "Rheumatismus cerebralis"
2719 1	2810 "Salpingitis purulenta operat."
2720 1	2811 "Anaemia post haemorrhagiam"
2721 4	2812 "Deliria  (Delirier)"
2722 1	2813 Livmodersvulst
2723 2	2814 Mellemøresuppuration
2724 1	2815 "Arthritis genus dext."
2725 2	2816 "Betændelse i knæleddet"
2726 1	2817 Brystsvindsot
2727 3	2818 "Colitis follicularis"
2728 3	2819 "Delirium febrilis"
2729 1	2820 "Eclampsia in idiotia"
2730 1	2821 "Febris typhidea in ??"
2731 3	2822 Gastritis
2732 4	2823 "Graviditas extrauterina (Graviditas extr.)"
2733 2	2824 "Hektisk sygdom"
2734 4	2825 Hjerneemboli
2735 2	2826 Hudsygdom
2736 2	2827 "Indvortes sygdom"
2737 10	2828 Kirtelsot
2738 2	2829 "Kronisk lungeabsces"
2739 6	2830 Mania
2740 1	2831 "Morbus congenitus"
2741 1	2832 "Morbus ignotus"
2742 1	2833 "Necrosis (Nekrose)"
2743 2	2834 Nerveslag
2744 3	2835 "Oedema neonatorum"
2745 1	2836 "Osteitis tuberculosa chr."
2746 5	2837 "Phlegmone diffusa septica"
2747 1	2838 Rygmarvslidelse
2748 1	2839 "Sarcoma humeri"
2749 1	2840 Scabies
2750 1	2841 "Scirrhus hepatis"
2751 2	2842 Svovlsyreforgiftning
2752 1	2843 "Tabes infantilis"
2753 2	2844 "Tumor columnae"
2754 1	2845 "Tumor cranii"
2755 5	2846 "Tumor malignus columnae"
2756 1	2847 "Ulcera gangraenosa"
2757 1	2848 "Ulcera ventriculi"
2758 1	2849 "Veneficium opii"
2759 1	2850 "Cancer hepatis et inter."
2760 1	2851 "Cancer testiculi"
2761 1	2852 Cellevævsbetændelse
2762 1	2853 "Deformatio congenita ducti chol."
2763 1	2854 "Dybt skindød"
2764 1	2855 Døvhed
2765 1	2856 "Exstirpatio canc. med fremlæggelse til anus praeternat."
2766 3	2857 Galdesten
2767 1	2858 "Hemiplegia cerebri"
2768 1	2859 "Kronisk hoste"
2769 1	2860 "Kronisk leverforhærdelse"
2770 3	2861 Laryngotracheitis
2771 1	2862 "Miltsygdom (Miltsyge)"
2772 1	2863 "Snit med en barberkniv"
2773 1	2864 "Svækkelse efter apopleksi"
2774 1	2865 "Tumor dorsi"
2775 3	2866 "Ulykkeligt tilfælde"
2776 4	2867 Urinbesværligheder
2777 2	2868 "Cancer pancreatis et peritonei"
2778 1	2869 "Cancer tonsillae"
2779 3	2870 "Gastrisk tilfælde"
2780 1	2871 "Gastropathia  (Gastropathi)"
2781 2	2872 "Haemoploe in influenza"
2782 2	2873 "Medfødt tarmforsnævring"
2783 1	2874 "Nephritis acuta septica"
2784 8	2875 "Nutritio mala"
2785 2	2876 "Palatum fissum"
2786 4	2877 "Phrenitis potatorum"
2787 9	2878 "Ruptura aneurysmatis"
2788 1	2879 "Sarcoma femoris dext."
2789 2	2880 "Slag i øjet"
2790 1	2881 "Abscessus varii"
2791 1	2882 "Aphta (Aphtae)"
2792 1	2883 Barseltilstand
2793 1	2884 "Betændelse efter en læsion af armen"
2794 1	2885 Forhærdning
2795 1	2886 "Følger af barselseng"
2796 1	2887 Haemato-pyosalpinx
2797 5	2888 "Kronisk mavesygdom"
2798 3	2889 Lungeinflammation
2799 0	2890 Mastoiditis
2800 1	2891 "Oedema carcinosa (Ødema carcinosa)"
2801 2	2892 "Placenta ??"
2802 2	2893 Rygsøjletuberkulose
2803 4	2894 "Sarcoma reg. ileocoecalis"
2804 7	2895 "Skudsår i hjernen (Skudlæsion af hjernen)"
2805 4	2896 "Tumor ventriculi"
2806 1	2897 "Barselkrampe "
2807 5	2898 "Bronchitis in tussis convulsiva"
2808 1	2899 Bronchopleuropneumonia
2809 3	2900 Bylder
2810 1	2901 "Degeneratio maligna"
2811 2	2902 "Embolia pulmonum et cerebri"
2812 6	2903 "Formentlig bronchitis"
2813 2	2904 "Følger af en brandbyld"
2814 1	2905 Hepatrophia
2815 1	2906 "Ileus e calc. biliari"
2816 6	2907 "Intussusceptio intestini"
2817 3	2908 "Knusning af pandeben"
2818 1	2909 "Kronisk sygdom i urinblæren"
2819 4	2910 "Medfødt organisk hjertefejl"
2820 1	2911 "Metastatisk septisk parotitis"
2821 3	2912 "Myoma uteri"
2822 13	2913 "Nephritis atrophica"
2823 3	2914 "Purpura haemorrhagica"
2824 1	2915 "Tabes medullaris"
2825 7	2916 "Tuberculosis glandulae colli"
2826 6	2917 "Febris typhoidea cerebralis"
2827 2	2918 "Apoplexia rheumatica"
2828 1	2919 "Apoplexia sanguinea"
2829 1	2920 "Arthritis pedis"
2830 7	2921 "Asphyxia neonatorum"
2831 7	2922 "Atheromata (Atheromation)"
2832 1	2923 Barselbetændelse
2833 4	2924 "Cancer cardiae et ventriculi"
2834 4	2925 "Coxitis dextr."
2835 1	2926 "Dementia alcoholica"
2836 1	2927 "Diphteritisk halssyge"
2837 2	2928 "Ergotismus gangraenosus"
2838 5	2929 "Formentlig sygdom"
2839 1	2930 "Formentlig sygdom eller alkoholisme"
2840 1	2931 "Halsen helt overskåren"
2841 8	2932 "Hjernebetændelse efter skarlagensfeber"
2842 4	2933 "Immaturus natus"
2843 4	2934 "Indbragt døende"
2844 1	2935 Intoxicatio
2845 5	2936 "Dræbt ved jordnedstyrtning"
2846 1	2937 Kirtelforhærdelse
2847 2	2938 "Kronisk tarmbetændelse"
2848 5	2939 "Kræft i underlivsorganerne"
2849 1	2940 Lymphoma
2850 1	2941 Maveforhærdelse
2851 1	2942 "Molimina dentitionis"
2852 1	2943 Nyrekræft
2853 1	2944 "Osteitis tuberculosa (Ostitis tuberculosa)"
2854 1	2945 Ovariecyste
2855 1	2946 "Phthisis pulmonum et intestin."
2856 1	2947 "Pneumonia efter mæslinger (Pneumonia efter morbilli)"
2857 4	2948 "Pneumonia morbillosa"
2858 2	2949 "Polypus nasi"
2859 2	2950 "Profus diarré"
2860 1	2951 "Pyaemia chron."
2861 1	2952 Pyoplania
2862 4	2953 "Suppressio urinae"
2863 1	2954 Tandanomalier
2864 2	2955 "Besværligt tandbrud (Tandbesværligheder)"
2865 1	2956 Tracheotomi
2866 3	2957 "Tuberkler i hjernen"
2867 3	2958 Ulcus
2868 1	2959 Uterinblødning
2869 1	2960 "Betændelse i benet"
2870 3	2961 "Brystbetændelse efter mæslinger"
2871 2	2962 "Forstoppelse med udpining af underlivet"
2872 1	2963 "Hektik efter absces"
2873 2	2964 "Indvortes kræftskade"
2874 1	2965 "Kræftsvulst i underlivet"
2875 8	2966 "Langvarig afkræftelse"
2876 1	2967 "Nekrose af tarmen"
2877 1	2968 "Ondartet trøske"
2878 4	2969 "Penetrerende skud i underlivet"
2879 1	2970 "Podagra retropulsa"
2880 1	2971 "Scarlatina maligna"
2881 2	2972 Skudt
2882 3	2973 "Suppuratio interna oculi"
2883 1	2974 "Sygdom i ryggen"
2884 1	2975 "Sår og betændelse i albueleddet"
2885 1	2976 "Universel svækkelse"
2886 1	2977 Æggestoksvattersot
2887 1	2978 "Blessure (Sår)"
2888 5	2979 "Abscessus cerebri e otitide"
2889 1	2980 "Ambustiones permagnae"
2890 2	2981 Aortaaneurisme
2891 1	2982 "Atrophia granularis"
2892 1	2983 "Atrophia granularis renum"
2893 3	2984 Brækninger
2894 1	2985 "Calculi renales"
2895 3	2986 "Cancer oesophagi ad cardiam"
2896 2	2987 "Convulsiones cum intest. acut."
2897 1	2988 "Død efter underlivsoperation"
2898 8	2989 "Død under svangerskabet (barn)"
2899 7	2990 "Dræbt ved jordskred"
2900 3	2991 "Erysipelas neonatorum"
2901 1	2992 "Febris acuta"
2902 2	2993 "Fistula rectalis"
2903 5	2994 "Forbrændinger af 2. grad"
2904 1	2995 "Formentlig hængning"
2905 2	2996 "Formentlig tandfeber"
2906 1	2997 "Formentlig tyfoid feber"
2907 3	2998 "Fractura columnae vertebralis"
2908 1	2999 "Fractura coxae seq."
2909 1	3000 "Haemorrhagia interna post laparotomiam"
2910 2	3001 "Haemorrhagia pulmonum"
2911 1	3002 "Indbragt i komatøs tilstand"
2912 2	3003 "Kron. follik. tarmulcerationer"
2913 2	3004 "Kronisk underlivslidelse"
2914 6	3005 "Kronisk underlivssvaghed"
2915 1	3006 Lungephthisis
2916 1	3007 Makroglossus
2917 1	3008 "Meningitis post operat."
2918 1	3009 "Myelitis acutissima"
2919 2	3010 "Nephritis albuminosa"
2920 1	3011 "Paralysis int. inf."
2921 1	3012 "Perforatio (Perforation)"
2922 4	3013 "Pneumonia post morbilli"
2923 1	3014 "Prolapsus uteri"
2924 2	3015 "Ruptura colli uteri"
2925 2	3016 "Rødlinger (Røde hunde)"
2926 1	3017 "Sclerose af hjertets arterier"
2927 1	3018 "Skudsår gennem lungen"
2928 1	3019 Spedalskhed
2929 7	3020 "Tarmocclusion (Tarmokklusion)"
2930 1	3021 "Ulcera tuberculosa axillae"
2931 2	3022 "Uræmi efter urinretention"
2932 1	3023 Øjenbetændelse
2933 1	3024 "Åbent benbrud"
2934 3	3025 "Cancer mammae et oesophagi et capitis"
2935 5	3026 Carbunculus
2936 1	3027 "Cerebralia acuta"
2937 1	3028 Cerebraltilfælde
2938 4	3029 "Debilitas nervosa"
2939 1	3030 "Erysipelas antebrachii"
2940 3	3031 "Fald fra et træ"
2941 1	3032 "Formentlig overdreven nydelse af alkohol"
2942 10	3033 Gastro-enterokatar
2943 3	3034 Hjernerheumatisme
2944 4	3035 "Ikke selvmord"
2945 2	3036 "Kronisk mavekatar"
2946 2	3037 "Lymphomata malignae"
2947 3	3038 "Medfødt fejl"
2948 5	3039 "Myocarditis luetica"
2949 2	3040 "Phthisis pulmonum florida"
2950 1	3041 "Pulmonia dextra"
2951 3	3042 Pyarthrus
2952 3	3043 "Stenosis ducti choledochi"
2953 2	3044 "Tiltagende afkræftelse"
2954 1	3045 "Tumores albi"
2955 8	3046 "Åndedrætsbesvær på grund af opkastning"
2956 3	3047 "Bristning af et blodkar"
2957 1	3048 "Cancer omenti"
2958 10	3049 "Contusio abdominis cum haemorrhagia ad peritoneum"
2959 1	3050 "Debilitas neonatorum"
2960 1	3051 "For stærke veer"
2961 3	3052 "Fractura complicata"
2962 1	3053 "Infectio puerperalis"
2963 1	3054 "Kræftagtig svulst i det lille bækken"
2964 1	3055 Lungehyperæmi
2965 2	3056 "Multiple leverabscesser"
2966 2	3057 "Paresis extremitatum"
2967 1	3058 "Placenta praevia totalis"
2968 1	3059 "Protraheret fødsel"
2969 1	3060 "Slet ernæring"
2970 1	3061 "Cancer renum"
2971 3	3062 Epistaxis
2972 2	3063 "Forblødning  fra navlearterien"
2973 1	3064 Hjerneanæmi
2974 1	3065 Hjernecongestion
2975 1	3066 Rosensår
2976 1	3067 "Affectio chronica cerebri"
2977 3	3068 Afvænning
2978 1	3069 "Ambulerende rosen"
2979 2	3070 "Arteritis umbilicalis"
2980 1	3071 "Beskadigelse af hjernen"
2981 5	3072 Blodsygdom
2982 7	3073 Blødersygdom
2983 4	3074 "Fraktur (brud) af låret"
2984 7	3075 "Caries i ribbenene"
2985 1	3076 "Catarrhus gastrointestinalis fabrilis"
2986 1	3077 "Contusiones variae coxae dext."
2987 1	3078 "Drukket kogende kaffe"
2988 2	3079 "Dræbt ved eksplosion"
2989 6	3080 "Dystrophia hepatis"
2990 1	3081 "Død under fødslen (død under forløsning)"
2991 5	3082 Endopericarditis
2992 4	3083 "Formentlig apopleksi"
2993 1	3084 "Fraktur (brud) af basis cranii"
2994 8	3085 "Haemorrhagia uteri post partum"
2995 3	3086 "Hidsig hjernebetændelse"
2996 1	3087 Hjernetuberkulose
2997 1	3088 Infarctus
2998 3	3089 Intertrigo
2999 1	3090 "Kronisk hjertelidelse"
3000 1	3091 "Kronisk strubesygdom"
3001 3	3092 Kræftsvulst
3002 1	3093 "Langvarig svækkelse (Langvarig svaghed)"
3003 1	3094 Leptomeningitis
3004 1	3095 "Leukaemia lienalis"
3005 3	3096 Lungeaffektion
3006 1	3097 "Macereret fødsel"
3007 1	3098 "Mania puerperalis"
3008 2	3099 "Metritis puerperalis"
3009 1	3100 Metrophlebitis
3010 2	3101 "Morbus Brightii chron."
3011 1	3102 "Morbus medullae oblongatae"
3012 8	3103 "Osteosarcoma pelvis"
3013 5	3104 "Paralysis progressiva"
3014 3	3105 "Pleuritis diaphragmatica"
3015 1	3106 "Polyarthritis rheumatica chron."
3016 1	3107 Purpura
3017 1	3108 Pyocele
3018 1	3109 "Sequelae post praematurus"
3019 1	3110 "Skålkopper (Skoldkopper)"
3020 1	3111 "Spasmi gastrici"
3021 1	3112 "Stomatitis ulcerosa"
3022 1	3113 Strubevattersot
3023 3	3114 Svagelighed
3024 1	3115 "Tumor cancrosus hepatis"
3025 1	3116 "Tumor thoracis"
3026 2	3117 Underlivslidelse
3027 4	3118 "Vulnera colli"
3028 7	3119 "Økonomisk vanskelighed"
3029 2	3120 "Cancer linguae et mandibulae inf."
3030 1	3121 "Cancer pulmonum et mediastini"
3031 1	3122 "Cystopyelonephritis calculosa"
3032 1	3123 "Formentlig død i beruset tilstand"
3033 20	3124 "Formentlig forgiftning med morfin"
3034 2	3125 Hjertesvaghed
3035 1	3126 "Luxatio colli"
3036 7	3127 Navleårebetændelse
3037 5	3128 "Nephritis acuta albuminosa"
3038 4	3129 "Perniciøs anæmi"
3039 1	3130 Rheumatica
3040 3	3131 "Septicopyæmia acuta"
3041 2	3132 "Sequelae contusionis capitis"
3042 2	3133 "Sequelae diphteriae fauc."
3043 1	3134 "Variola vera"
3044 6	3135 "Variolae confluentes"
3045 1	3136 "Abscessus fossae iliacae dext."
3046 1	3137 "Abscessus pectoris post laesionem"
3047 1	3138 "Akut underlivstilfælde"
3048 9	3139 Benkræft
3049 1	3140 Blodtab
3050 11	3141 Bronchopulmonia
3051 1	3142 "Cancer hepatis et abdominis"
3052 3	3143 "Cancer inguinalis dext."
3053 1	3144 "Cancer uteri et inguinal."
3054 1	3145 "Carcinoma cardiae"
3055 1	3146 "Enteritis ulcerosa"
3056 1	3147 "Fractura capitis"
3057 1	3148 "Fractura femoris duplex"
3058 1	3149 "Furunculus labii sup."
3059 3	3150 "Haemorrhagia ventriculorum cerebri et medullae spinalis"
3060 1	3151 Hjernebrok
3061 3	3152 "Kræftknuder i underlivet"
3062 2	3153 "Langvarig gigtsvaghed"
3063 4	3154 Metritis
3064 2	3155 "Myositis femoris"
3065 9	3156 Nervesvaghed
3066 1	3157 "Occlusio pylori cong."
3067 1	3158 Periphlebitis
3068 1	3159 "Pneumonia in bronchitis"
3069 2	3160 "Ruptura tumoris"
3070 1	3161 "Svulst af ovariet"
3071 1	3162 Tarmparalyse
3072 3	3163 "Ulcera intestinalia"
3073 1	3164 "Zona (Zoster)"
3074 4	3165 "Besvimelse (asfyksi)"
3075 1	3166 "Betændelse i navlestreng"
3076 2	3167 "Blodig diarré"
3077 1	3168 Blodårebetændelse
3078 1	3169 "Formentlig gastroenteritis acuta"
3079 1	3170 "Fractura complicata femoris"
3080 1	3171 "Haematoma tubae sin."
3081 4	3172 "Herniotomia seqv."
3082 4	3173 "Huslig uenighed"
3083 7	3174 "Knusning af ben"
3084 3	3175 "Kræft i livmoder og vagina"
3085 1	3176 "Kræft i spiserøret og munden"
3086 1	3177 Maveinflammation
3087 9	3178 "Morbus renalis"
3088 3	3179 "Myelitis spinalis"
3089 1	3180 Overanstrengelse
3090 3	3181 "Tabes glandularis"
3091 1	3182 "Tuberculosis pulmonum et intestini et urogenitalis"
3092 5	3183 "Tumor albus"
3093 3	3184 "Ulcus pedis"
3094 2	3185 "Aberratio mentis"
3095 3	3186 "Abscessus ?? (Umbilical infektion)"
3096 1	3187 "Apoplexia sanguinea cerebri"
3097 1	3188 Asystolia
3098 3	3189 "Blodextravasat i hjernen"
3099 4	3190 "Brud på hjerneskallen og brystkassen"
3100 6	3191 "Cancer pharyngis et oesophagi"
3101 2	3192 "Cancer uteri et abdominis"
3102 1	3193 Catarrhus
3103 2	3194 "Catarrhus pulmonum (Catarrh. pulm.)"
3104 2	3195 "Chorea St. Viti"
3105 1	3196 Coxalgia
3106 1	3197 "Cystopyelonephritis suppurativa"
3107 1	3198 "Encephalitis rheumatica"
3108 1	3199 "Erysipelas extr. inferiorum"
3109 1	3200 "Fistula urinaria"
3110 4	3201 "Formentlig død som følge af en bristning af urinblæren efter et spark"
3111 1	3202 "Formentlig kirtelfejl"
3112 1	3203 "Forrådnet foster"
3113 1	3204 Gastricismus
3114 4	3205 "Hepatitis interstitialis"
3115 1	3206 "Hernia inguinalis"
3116 3	3207 "Hydromeningitis acuta"
3117 3	3208 "Kighoste med brystbetændelse"
3118 1	3209 "Kontusion af hjernen og brystorganerne"
3119 4	3210 "Kronisk katar af larynx"
3120 1	3211 "Kronisk pleuritis"
3121 1	3212 "Laryngitis chron."
3122 2	3213 "Lunge- og strubetuberkulose"
3123 2	3214 Navlekarbetændelse
3124 1	3215 Pericolitis
3125 3	3216 "Phlebitis venae ophtalmicae"
3126 1	3217 "Phlegmone natium"
3127 2	3218 Puerperalia
3128 1	3219 "Pulmonia crouposa sin."
3129 3	3220 "Sarcoma axillae dext."
3130 1	3221 "Sarcoma renum"
3131 1	3222 "Sectio alta"
3132 1	3223 "Stenosis mitralis"
3133 1	3224 Streptokokforgiftning
3134 2	3225 "Svækkelse efter pleuritis"
3135 4	3226 Ubestemt
3136 1	3227 "Abscessi multiplices"
3137 1	3228 "Apoplektisk anfald"
3138 1	3229 "Cancer multiplex"
3139 1	3230 "Diagnosis dubia"
3140 1	3231 "Embolia pulmonum post partum"
3141 6	3232 "For svagt kredsløb"
3142 1	3233 Hepatopathia
3143 1	3234 "Hernia cerebri congenita"
3144 1	3235 Hjerteabscesser
3145 1	3236 Kirteltuberkulose
3146 3	3237 "Konstitutionel lues (konstitutionel syfilis)"
3147 1	3238 "Lunge- og tarmkatar"
3148 1	3239 "Mortuus natus"
3149 1	3240 "Nedtrykt sindsstemning"
3150 1	3241 "Pneumonia post operationem"
3151 2	3242 "Sarcoma ossis sacri"
3152 1	3243 "Seqv. gangraenae pectoris"
3153 1	3244 "Stort abdominalbrok"
3154 4	3245 Strubesygdom
3155 1	3246 "Abscessus subphrenicus"
3156 1	3247 "Arteriosclerosis af koronar arterierne"
3157 1	3248 "Blodflod efter forløsning ved et falsk svangerskab"
3158 1	3249 "Caries columnae (Caries columnae dorsalis)"
3159 1	3250 "Concrementa renalis"
3160 1	3251 "Dræbt af en granat"
3161 1	3252 "Fald (styrt) fra hest"
3162 2	3253 "Fibrosarcoma uteri"
3163 1	3254 "Formentlig konvulsioner"
3164 2	3255 "Gangraena oris"
3165 1	3256 "Insufficientia aortae"
3166 2	3257 "Kighoste med pneumoni"
3167 3	3258 "Kronisk blærebetændelse"
3168 3	3259 Lungeblodflod
3169 1	3260 "Meningitis purulenta e otitide media supp. acuta"
3170 3	3261 "Miliær hjernetuberkulose"
3171 1	3262 "Mola hydatidosa"
3172 1	3263 "Morbus cutaneus chron."
3173 2	3264 "Nephritis haemorrhagica acuta"
3174 3	3266 "Peritonitis perforata  post appendicit."
3175 1	3267 "Påkørt af en sporvogn"
3176 1	3268 "Sclerosis cerebri chron."
3177 1	3269 "Septicaemia post ambustionem"
3178 2	3270 "Skudsår i brystet"
3179 2	3271 "Strictura coli"
3180 1	3272 "Svækkelse efter fractura colli femoris"
3181 1	3273 "Tumor chronicus glandulae thyroideae"
3182 1	3274 "Tumor columnae vertebralis"
3183 4	3275 "Udbredte paralyser efter difteritis"
3184 1	3276 Udtæring
3185 1	3277 "Uraemia in nephritide chron."
3186 1	3278 Vulnera
3187 1	3279 Afsindighed
3188 4	3280 "Apoplexia cerebri sin."
3189 1	3281 Arteritis
3190 1	3282 "Blære- og nyresygdom"
3191 1	3283 "Calculus renalis (Calc. renalis)"
3192 4	3284 "Cancer coli et hepatis"
3193 16	3285 "Cirrhosis renalis"
3194 4	3286 "Convulsiones in delirio"
3195 2	3287 "Cystosarcoma ovarii"
3196 1	3288 "Emollitiones variae cerebri"
3197 2	3289 Enteroperitonitis
3198 2	3290 "Epithelioma genae"
3199 1	3291 "Frygt for hospital"
3200 1	3292 Galdebesværligheder
3201 1	3293 "Gangraena diabetica"
3202 1	3294 "Hernia abdominalis"
3203 1	3295 "Hjerneaffection med krampe"
3204 1	3296 Hydrocarditis
3205 2	3297 "Kræft i underlæben"
3206 5	3298 "Kræftsvulst med lamhed af underekstremiteterne"
3207 2	3299 Leversvulst
3208 2	3300 "Morbilli in tussi convulsiva"
3209 1	3301 "Osteitis pedis (Ostitis pedis)"
3210 1	3302 "Parotitis suppurativa"
3211 1	3303 "Pekuniær forlegenhed"
3212 2	3304 "Phlebitis cerebralis"
3213 3	3305 "Phlegmone diffusa cruris sin. cum erysipelate"
3214 1	3306 "Phlegmone efter kighoste"
3215 3	3307 "Phlegmone diffusa manus et antebrachii et humeri sin."
3216 1	3308 Pneumorrhagia
3217 2	3309 Påkørsel
3218 4	3310 "Sequelae colotomiae"
3219 1	3311 "Sequelae emollitionum"
3220 1	3312 "Stomatomycosis (Stomatomykose)"
3221 1	3313 "Tuberkuløse ulcerationer"
3222 2	3314 "Tumor inguinalis"
3223 2	3315 "Vand i brystet"
3224 1	3316 Vådeskud
3225 1	3317 "Pneumonia catarrhalis post morbilli"
3226 3	3318 "Pyelonephritis calculosa duplex"
3227 1	3319 "Lunge- og tarmsvindsot"
3228 4	3320 "Anaemia post epistaxis"
3229 2	3321 "Intoxicatio opii et hydratchloraliae"
3230 1	3322 "Formentlig Morbus mentalis"
3231 2	3323 "Cancer medullae spinalis"
3232 1	3324 "Abscessus retroperitonealis e perforatione proc. vermiform. "
3233 1	3325 "Albuminuria acuta"
3234 1	3326 "Alii morbi"
3235 1	3327 "Amputatio femoris"
3236 1	3328 "Asthma infantum"
3237 2	3329 "Sepsis efter kejsersnit"
